date,forecast_AR,forecast_ADL,forecast_RF,actual,forecast_Ensemble,CI_Lower,CI_Upper
1959-10-01,3.431,2.54,,1.138,2.986,-2.593,8.564
1960-01-01,2.636,7.113,,8.895,4.874,-0.704,10.453
1960-04-01,2.936,-0.49,,-2.159,1.223,-4.356,6.802
1960-07-01,3.36,-0.009,,1.955,1.676,-3.903,7.255
1960-10-01,2.427,-5.536,,-5.166,-1.554,-7.133,4.024
1961-01-01,2.617,1.745,,2.691,2.181,-3.398,7.76
1961-04-01,2.163,5.967,,6.734,4.065,-1.514,9.644
1961-07-01,3.023,6.231,,7.609,4.627,-0.952,10.206
1961-10-01,3.431,8.269,,7.771,5.85,0.271,11.429
1962-01-01,3.519,6.278,,7.072,4.898,-0.68,10.477
1962-04-01,3.514,2.609,,3.603,3.062,-2.517,8.641
1962-07-01,3.35,2.143,,4.888,2.746,-2.832,8.325
1962-10-01,3.057,3.497,,1.315,3.277,-2.302,8.856
1963-01-01,3.078,4.054,,4.345,3.566,-2.013,9.145
1963-04-01,2.825,5.193,,4.465,4.009,-1.57,9.588
1963-07-01,3.115,4.104,,8.7,3.61,-1.969,9.188
1963-10-01,3.246,2.511,,2.615,2.879,-2.7,8.458
1964-01-01,3.477,4.442,,8.347,3.959,-1.619,9.538
1964-04-01,3.061,4.418,,4.333,3.74,-1.839,9.318
1964-07-01,3.492,4.504,,6.202,3.998,-1.581,9.576
1964-10-01,3.163,4.465,,1.235,3.814,-1.764,9.393
1965-01-01,3.201,7.888,,9.564,5.544,-0.035,11.123
1965-04-01,2.964,3.92,,5.022,3.442,-2.137,9.021
1965-07-01,3.627,5.573,,8.795,4.6,-0.979,10.178
1965-10-01,3.302,5.103,,9.111,4.203,-1.376,9.782
1966-01-01,3.669,5.693,,9.619,4.681,-0.898,10.26
1966-04-01,3.713,2.933,,1.364,3.323,-2.255,8.902
1966-07-01,3.529,3.211,,3.373,3.37,-2.209,8.949
1966-10-01,2.802,2.254,,3.268,2.528,-3.051,8.107
1967-01-01,2.99,2.353,,3.528,2.671,-2.907,8.25
1967-04-01,2.987,1.969,,0.245,2.478,-3.101,8.057
1967-07-01,2.919,3.272,,3.767,3.096,-2.483,8.674
1967-10-01,2.707,4.907,,3.004,3.807,-1.772,9.386
1968-01-01,3.019,5.491,,8.075,4.255,-1.323,9.834
1968-04-01,3.09,3.047,,6.626,3.069,-2.51,8.647
1968-07-01,3.531,4.175,,3.086,3.853,-1.726,9.431
1968-10-01,3.293,2.968,,1.568,3.131,-2.448,8.71
1969-01-01,2.914,5.313,,6.209,4.113,-1.465,9.692
1969-04-01,2.901,3.313,,1.212,3.107,-2.472,8.686
1969-07-01,3.201,2.496,,2.631,2.848,-2.73,8.427
1969-10-01,2.766,2.808,,-1.958,2.787,-2.792,8.366
1970-01-01,2.772,-3.939,,-0.596,-0.584,-6.163,4.995
1970-04-01,2.374,0.293,,0.566,1.334,-4.245,6.912
1970-07-01,2.537,-0.391,,3.669,1.073,-4.506,6.652
1970-10-01,2.734,-2.199,,-4.309,0.268,-5.311,5.847
1971-01-01,2.804,5.719,,10.72,4.262,-1.317,9.84
1971-04-01,2.471,3.078,,2.157,2.774,-2.804,8.353
1971-07-01,3.655,3.414,,3.276,3.535,-2.044,9.114
1971-10-01,2.874,3.382,,0.938,3.128,-2.451,8.707
1972-01-01,2.915,7.497,,7.282,5.206,-0.373,10.785
1972-04-01,2.872,5.501,,8.976,4.186,-1.392,9.765
1972-07-01,3.522,4.35,,3.759,3.936,-1.643,9.515
1972-10-01,3.535,6.601,,6.642,5.068,-0.511,10.647
1973-01-01,3.121,7.07,,9.779,5.096,-0.483,10.674
1973-04-01,3.484,2.889,,4.331,3.186,-2.393,8.765
1973-07-01,3.628,2.405,,-2.109,3.017,-2.562,8.595
1973-10-01,2.929,3.423,,3.779,3.176,-2.403,8.755
1974-01-01,2.484,0.863,,-3.454,1.673,-3.905,7.252
1974-04-01,2.838,0.776,,0.95,1.807,-3.771,7.386
1974-07-01,2.276,-0.217,,-3.799,1.03,-4.549,6.608
1974-10-01,2.56,-7.129,,-1.557,-2.284,-7.863,3.295
1975-01-01,2.173,-7.987,,-4.9,-2.907,-8.486,2.672
1975-04-01,2.291,0.622,,2.849,1.456,-4.123,7.035
1975-07-01,2.192,7.354,,6.79,4.773,-0.806,10.352
1975-10-01,3.039,4.729,,5.352,3.884,-1.695,9.463
1976-01-01,3.373,6.989,,8.898,5.181,-0.398,10.76
1976-04-01,3.336,3.04,,2.923,3.188,-2.391,8.767
1976-07-01,3.504,3.939,,2.184,3.721,-1.857,9.3
1976-10-01,2.916,3.046,,2.88,2.981,-2.598,8.56
1977-01-01,2.866,7.738,,4.717,5.302,-0.277,10.88
1977-04-01,2.984,5.186,,7.693,4.085,-1.494,9.664
1977-07-01,3.242,5.085,,7.148,4.164,-1.415,9.742
1977-10-01,3.509,3.948,,0.008,3.729,-1.85,9.307
1978-01-01,3.256,4.203,,1.277,3.729,-1.85,9.308
